nome;preparo;energia;proteína;carboidrato;gordura
Melancia;in natura;30;0.6;7.6;0.2
Melão;in natura;34;0.8;8.2;0.2
Pera;in natura;57;0.4;15.0;0.1
Goiaba;in natura;68;2.6;14.0;1.0
Pêssego;in natura;39;0.9;9.5;0.3
Limão;in natura;29;1.1;9.3;0.3
Abacate;in natura;160;2.0;9.0;15.0
Açaí polpa;congelado;58;0.8;6.2;3.7
Açaí na tigela;preparado;180;2.5;25.0;8.0
Maracujá;in natura;97;2.2;21.0;0.7
Caju;in natura;43;1.0;10.0;0.4
Kiwi;in natura;61;1.1;15.0;0.5
Figo;in natura;74;0.8;19.0;0.3
Caqui;in natura;71;0.6;19.0;0.2
Jabuticaba;in natura;45;0.6;12.0;0.1
Pitanga;in natura;41;0.9;10.0;0.1
Graviola;in natura;66;1.0;16.0;0.4
Cupuaçu;in natura;72;1.7;15.0;1.0
Buriti;in natura;100;0.8;12.0;6.0
Jenipapo;in natura;92;1.5;18.0;1.8
Pitaya;in natura;57;0.8;12.0;0.4
Lichia;in natura;66;0.8;16.5;0.4
Carambola;in natura;31;1.0;7.0;0.3
Jaca;in natura;95;1.6;23.0;0.6
Jambo;in natura;48;0.7;11.0;0.3
Siriguela;in natura;58;0.6;14.5;0.2
Mangaba;in natura;56;0.9;13.0;0.3
Pequi;in natura;140;2.0;8.0;11.0
Cajá;in natura;48;0.6;11.5;0.3
Umbu;in natura;41;0.7;10.0;0.1
Amora;in natura;43;1.4;10.0;0.5
Framboesa;in natura;52;1.2;12.0;0.7
Mirtilo;in natura;57;0.7;14.0;0.3
Cereja;in natura;50;1.0;12.0;0.3
Nectarina;in natura;44;1.1;11.0;0.3
Ameixa;in natura;46;0.7;11.0;0.3
Ameixa seca;desidratada;240;2.2;64.0;0.4
Damasco;in natura;48;1.4;11.0;0.4
Coco verde;in natura;45;0.7;8.5;1.0
Coco seco polpa;ralada;354;3.3;15.0;33.0
Coco ralado;seco;507;5.0;23.0;45.0
Tomate;in natura;21;1.1;4.7;0.2
Tomate cereja;in natura;22;1.0;4.5;0.2
Cebola;in natura;40;1.1;9.3;0.1
Cebola roxa;in natura;38;1.0;9.0;0.1
Alho;in natura;149;6.4;33.0;0.5
Alho-poró;cozido;31;1.0;7.0;0.2
Cenoura;cozida;35;0.8;8.0;0.2
Cenoura;in natura;41;0.9;10.0;0.2
Beterraba;cozida;44;1.7;10.0;0.2
Beterraba;in natura;43;1.6;9.6;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Abobrinha;in natura;17;1.2;3.4;0.2
Chuchu;cozido;19;0.4;4.5;0.1
Chuchu;in natura;18;0.7;4.0;0.1
Brócolis;cozido;35;2.4;7.0;0.4
Brócolis;in natura;34;2.8;7.0;0.4
Couve;cozida;27;1.7;5.0;0.5
Couve;in natura;32;2.4;5.0;0.5
Couve-flor;cozida;20;1.4;4.0;0.2
Couve-flor;in natura;22;1.9;5.0;0.3
Couve-de-bruxelas;cozida;36;2.6;7.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Espinafre;in natura;23;2.9;3.6;0.4
Alface;in natura;15;1.4;2.8;0.2
Rúcula;in natura;25;2.6;3.7;0.7
Agrião;in natura;11;1.5;1.8;0.1
Repolho;in natura;25;1.3;5.8;0.1
Repolho roxo;in natura;25;1.4;5.5;0.1
Pepino;in natura;15;0.6;3.6;0.1
Pimentão verde;in natura;23;1.0;5.4;0.2
Pimentão vermelho;in natura;26;1.0;6.0;0.3
Pimentão amarelo;in natura;27;1.0;6.3;0.2
Berinjela;cozida;35;0.8;8.7;0.2
Berinjela;in natura;25;1.0;6.0;0.2
Quiabo;cozido;33;1.9;7.0;0.2
Jiló;cozido;27;1.4;6.0;0.2
Abóbora;cozida;26;1.0;6.5;0.1
Abóbora;in natura;21;0.8;5.0;0.1
Abóbora cabotiá;cozida;32;1.2;7.5;0.2
Vagem;cozida;35;1.9;7.9;0.2
Palmito;conserva;30;2.5;5.0;0.1
Palmito pupunha;conserva;28;2.0;4.5;0.5
Acelga;cozida;20;1.8;4.0;0.1
Almeirão;in natura;19;1.5;4.0;0.2
Mostarda;in natura;27;2.7;4.9;0.5
Maxixe;cozido;19;1.0;4.2;0.2
Ora-pro-nóbis;cozida;35;3.0;6.0;0.6
Taioba;cozida;28;2.5;5.0;0.3
Bertalha;cozida;20;1.8;4.0;0.2
Alcachofra;cozida;53;2.9;12.0;0.2
Espargo;cozido;22;2.4;4.0;0.2
Rabanete;in natura;16;0.7;3.4;0.1
Nabo;cozido;22;0.8;5.0;0.2
Salsa;in natura;36;3.0;6.0;0.8
Cebolinha;in natura;30;3.3;5.0;0.5
Coentro;in natura;23;2.1;4.0;0.5
Hortelã;in natura;44;3.3;8.0;0.7
Manjericão;in natura;23;3.2;2.7;0.6
Alecrim;in natura;131;3.3;20.0;5.9
Tomilho;in natura;100;5.6;24.0;1.7
Louro;in natura;313;7.4;48.0;8.4
Gengibre;in natura;80;1.8;18.0;0.8
Açafrão;em pó;354;10.0;65.0;5.0
Erva-doce;in natura;31;1.2;7.0;0.2
Azeitona verde;conserva;145;1.0;4.0;15.0
Azeitona preta;conserva;155;1.5;4.5;16.0
Pepino em conserva;conserva;11;0.4;2.3;0.1
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amendoim;torrado;567;26.0;16.0;49.0
Amendoim cozido;cozido;303;14.0;16.0;21.0
Manteiga de amendoim;cremosa;588;25.0;20.0;50.0
Amêndoa;in natura;579;21.0;22.0;50.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Gergelim;em grão;573;18.0;23.0;50.0
Semente de abóbora;torrada;559;30.0;11.0;49.0
Semente de girassol;torrada;584;21.0;20.0;51.0
Pistache;in natura;562;20.0;28.0;45.0
Noz-pecã;in natura;691;9.0;14.0;72.0
Macadâmia;in natura;718;8.0;14.0;76.0
Noz;in natura;654;15.0;14.0;65.0
Avelã;in natura;628;15.0;17.0;61.0
Castanha de baru;torrada;560;23.0;32.0;38.0
Azeite de oliva;líquido;884;0;0;100.0
Óleo de soja;líquido;884;0;0;100.0
Óleo de canola;líquido;884;0;0;100.0
Óleo de coco;líquido;862;0;0;100.0
Banha de porco;líquida;902;0;0;100.0
Manteiga ghee;líquida;900;0.3;0;99.7
Baconzitos;industrializado;490;7.0;5.0;50.0
Amendoim japonês;industrializado;480;20.0;35.0;30.0
Batata palha;industrializada;520;5.0;34.0;42.0
Salgadinho de milho;industrializado;534;7.0;55.0;32.0
Batata chips;industrializada;530;6.0;50.0;35.0
Açúcar refinado;cristal;387;0;100.0;0
Açúcar mascavo;cristal;380;0.5;95.0;0.1
Adoçante líquido;líquido;8;0;2.0;0
Mel;líquido;304;0.3;82.0;0
Achocolatado em pó;pó;400;5.0;87.0;4.0
Doce de leite;cremoso;306;6.0;55.0;8.0
Goiabada;cremosa;290;0.5;70.0;0.5
Brigadeiro;preparado;400;6.0;60.0;16.0
Bolo de chocolate;assado;360;5.0;50.0;16.0
Bolo de cenoura;assado;370;5.0;52.0;15.0
Bolo de fubá;assado;340;6.0;54.0;12.0
Bolo de laranja;assado;350;5.0;55.0;13.0
Bolo de banana;assado;320;4.5;52.0;11.0
Bolo de milho;assado;340;5.0;52.0;12.0
Bolo formigueiro;assado;370;5.5;52.0;15.0
Bolo de limão;assado;355;5.0;53.0;14.0
Bolo de rolo;assado;380;5.0;58.0;15.0
Brownie;assado;430;5.0;55.0;22.0
Cookie de chocolate;assado;470;6.0;68.0;20.0
Cupcake;assado;380;5.0;48.0;19.0
Pão de mel;assado;370;4.5;62.0;12.0
Pudim de leite;preparado;200;5.0;30.0;7.0
Manjar de coco;preparado;180;2.5;30.0;6.0
Ambrosia;preparada;175;5.0;28.0;5.0
Arroz doce;preparado;155;3.5;28.0;3.0
Canjica doce;preparada;145;3.0;27.0;3.0
Mousse de maracujá;preparado;190;2.5;28.0;8.0
Mousse de chocolate;preparado;250;3.5;28.0;14.0
Pavê;preparado;260;2.5;35.0;12.0
Gelatina de fruta;preparada;80;1.5;18.0;0
Salada de frutas;preparada;72;0.6;18.0;0.2
Doce de abóbora;cremoso;215;0.7;54.0;0.4
Doce de banana;cremoso;250;1.0;60.0;1.0
Cocada;preparada;440;2.0;55.0;24.0
Pé-de-moleque;preparado;450;8.0;55.0;22.0
Paçoca;preparada;430;12.0;45.0;22.0
Rapadura;sólida;380;0.5;95.0;0.2
Quindim;preparado;380;4.0;40.0;23.0
Torta de limão;preparada;320;3.5;40.0;16.0
Creme de papaya;preparado;95;1.0;18.0;2.0
Biscoito maisena;assado;443;7.0;75.0;12.0
Biscoito cream cracker;assado;432;10.0;71.0;11.0
Biscoito recheado;industrializado;475;5.0;68.0;21.0
Biscoito wafer;industrializado;510;5.0;65.0;26.0
Biscoito de polvilho;assado;400;2.0;58.0;18.0
Café preto;coado;2;0.3;0;0
Café com leite;líquido;45;2.5;4.0;2.0
Cappuccino;pó preparado;42;1.5;6.0;1.5
Chimarrão;infusão;8;0.2;1.5;0.1
Chá mate;infusão;4;0.1;0.8;0.1
Chá mate gelado;líquido;25;0;6.0;0
Suco de laranja natural;líquido;45;0.7;10.0;0.2
Suco de laranja pasteurizado;líquido;42;0.5;10.0;0.1
Suco de uva integral;líquido;65;0.2;16.0;0
Suco de uva diluído;líquido;33;0;8.0;0
Suco de caju;líquido;40;0.2;10.0;0.1
Suco de maracujá;líquido;45;0.3;11.0;0.1
Suco de manga;líquido;52;0.3;13.0;0.2
Suco de goiaba;líquido;46;0.2;11.5;0.1
Suco de açaí;líquido;55;0.5;9.0;2.0
Água de coco;líquido;19;0.7;3.7;0.2
Refrigerante cola;líquido;42;0;11.0;0
Refrigerante guaraná;líquido;40;0;10.0;0
Refrigerante de limão;líquido;40;0;10.0;0
Refrigerante de laranja;líquido;42;0;11.0;0
Refrigerante zero;líquido;1;0;0.2;0
Água tônica;líquido;34;0;8.5;0
Cerveja;líquido;43;0.5;3.6;0
Cerveja sem álcool;líquido;25;0.3;5.0;0
Cerveja puro malte;líquido;46;0.5;3.7;0
Vinho tinto;líquido;85;0.1;2.6;0
Vinho branco;líquido;82;0.1;2.6;0
Espumante;líquido;76;0.1;1.4;0
Cachaça;líquido;231;0;0.1;0
Whisky;líquido;250;0;0.1;0
Vodka;líquido;231;0;0;0
Suco de soja;líquido;44;2.0;8.0;0.5
Leite de soja;líquido;40;3.3;2.0;1.5
Leite de amêndoas;líquido;30;1.0;1.0;2.5
Leite de aveia;líquido;48;0.7;9.0;1.0
Catchup;cremoso;112;1.7;27.0;0.1
Mostarda amarela;cremosa;66;4.0;6.0;3.0
Maionese;cremosa;680;1.0;0.6;75.0
Molho de tomate;cozido;35;1.6;7.5;0.2
Extrato de tomate;concentrado;82;4.0;18.0;0.5
Molho bolonhesa;pronto;75;4.5;8.0;2.5
Molho branco;preparado;140;3.5;10.0;9.0
Molho pesto;pronto;380;5.0;6.0;37.0
Vinagre;líquido;18;0;0.6;0
Presunto;processado;145;17.0;1.5;8.0
Mortadela;processada;270;12.0;3.0;23.0
Calabresa;processada;320;14.0;4.0;27.0
Linguiça toscana;grelhada;280;18.0;3.0;22.0
Linguiça portuguesa;cozida;290;16.0;2.0;24.0
Salsicha;enlatada;250;11.0;3.0;22.0
Coxa de frango;assada;215;25.0;0;12.0
Frango empanado;frito;280;20.0;12.0;17.0
Almôndega de frango;cozida;195;18.0;6.0;11.0
Panqueca de carne;preparada;165;12.0;15.0;6.0
Panqueca de frango;preparada;155;12.0;15.0;5.0
Escondidinho de carne;preparado;175;12.0;14.0;8.0
Escondidinho de frango;preparado;160;11.0;14.0;7.0
Baião de dois;preparado;138;6.0;22.0;2.5
Arroz carreteiro;preparado;150;7.0;18.0;5.0
Virado à paulista;preparado;175;7.0;22.0;6.0
Feijão com arroz;preparado;106;4.0;18.0;1.5
Coxinha;frita;270;8.0;28.0;14.0
Pastel de carne;frito;310;8.0;30.0;17.0
Pastel de queijo;frito;300;6.0;28.0;18.0
Kibe;frito;260;12.0;22.0;14.0
Kibe assado;assado;175;12.0;20.0;5.0
Empada de frango;assada;320;8.0;28.0;19.0
Risole de queijo;frito;310;6.0;30.0;18.0
Esfiha de carne;assada;225;10.0;26.0;10.0
Esfiha de queijo;assada;230;8.0;26.0;11.0
Croquete;frito;280;10.0;22.0;17.0
Bolinho de arroz;frito;240;5.0;28.0;12.0
Acarajé;frito;290;8.0;22.0;19.0
Abará;cozido;250;7.0;24.0;14.0
Pizza de queijo;preparada;260;11.0;30.0;10.0
Pizza de calabresa;preparada;280;12.0;28.0;13.0
Pizza de frango;preparada;260;12.0;30.0;11.0
Pizza de frango com catupiry;preparada;275;13.0;28.0;12.0
Pizza marguerita;preparada;240;10.0;30.0;9.0
Pizza portuguesa;preparada;265;11.0;29.0;11.0
Pizza de muçarela;preparada;258;11.0;30.0;10.0
Pizza congelada;preparada;245;10.0;30.0;10.0
Hambúrguer de carne;grelhado;295;18.0;30.0;12.0
Hambúrguer de frango;grelhado;260;16.0;30.0;9.0
Hambúrguer bovino (filé);grelhado;195;24.0;0;10.0
Lasanha de carne;preparada;150;8.0;16.0;6.0
Lasanha de frango;preparada;145;7.0;16.0;6.0
Nhoque ao sugo;preparado;120;3.5;20.0;2.5
Risoto de palmito;preparado;130;3.0;22.0;3.0
Sopa de macarrão com legumes;cozida;42;1.5;7.0;0.7
Sopa de feijão;cozida;78;4.0;10.0;2.0
Sopa de legumes;cozida;32;1.0;6.0;0.3
Sopa de mandioca com carne;cozida;85;4.0;11.0;2.5
Sopa de capeletti;cozida;48;2.0;7.0;1.0
Canja de galinha;cozida;52;3.0;6.5;1.5
Creme de abóbora;cozido;38;1.0;7.0;0.8
Creme de milho;preparado;72;1.8;14.0;1.3
Sopa de pacote;preparada;35;0.8;6.0;0.8
PTS temperada;refogada;130;14.0;7.0;5.0
Farofa pronta;preparada;300;3.5;38.0;15.0
Farofa de manteiga;preparada;350;2.0;42.0;19.0
Farofa de ovo;preparada;320;8.0;35.0;16.0
Farofa de banana;preparada;280;2.0;48.0;9.0
Salada de maionese;preparada;180;3.0;12.0;13.0
Salada de batata;preparada;130;2.5;18.0;5.0
Salada de macarrão;preparada;125;4.0;20.0;3.0
Tabule;preparado;130;3.5;22.0;3.0
Quibe cru (nime);cru;195;12.0;18.0;9.0
Pão sírio;assado;260;8.0;50.0;2.0
Pão árabe;assado;260;8.0;49.0;2.5
Baguete;assada;270;9.0;55.0;0.5
Croissant;assado;400;7.0;45.0;21.0
Brioche;assado;350;8.0;50.0;13.0
Cuca de frutas;assada;280;5.0;48.0;8.0
Strudel de maçã;assado;255;3.0;38.0;10.0
Tortéi;cozido;140;5.0;26.0;1.5
Ravióli de carne;cozido;150;7.0;24.0;2.5
Ravióli de queijo;cozido;145;6.0;24.0;2.5
Talharim;cozido;135;4.5;27.0;0.7
Espaguete;cozido;138;4.8;28.0;0.7
Penne;cozido;140;5.0;28.0;0.6
Fusilli;cozido;138;4.7;28.0;0.7
Tortellini;cozido;145;6.0;26.0;2.0
Suflê de legumes;assado;95;4.0;8.0;5.0
Suflê de queijo;assado;210;8.0;10.0;15.0
Quiche de queijo;assada;290;9.0;20.0;19.0
Quiche de frango;assada;275;10.0;20.0;17.0
Torta salgada de frango;assada;240;9.0;22.0;13.0
Torta salgada de palmito;assada;230;7.0;22.0;13.0
Torta salgada de queijo;assada;260;8.0;22.0;15.0
Torta de liquidificador;assada;210;8.0;24.0;9.0
Bacalhau à portuguesa;preparado;145;16.0;12.0;4.0
Bacalhau à zé do pipo;preparado;160;15.0;14.0;5.0
Casquinha de siri;preparada;180;12.0;10.0;10.0
Caldo de peixe;cozido;25;3.5;1.0;0.8
Caldo de feijão;cozido;60;3.0;9.0;1.0
Caldo de mandioca;cozido;80;2.0;12.0;2.5
Caldo de cana;líquido;75;0;18.0;0
Smoothie de frutas;líquido;62;0.8;14.0;0.4
Vitaminas de frutas;líquido;85;2.5;14.0;2.0
Milk shake;líquido;180;4.0;26.0;7.0
